Position Strand Score
-319474 + 5.9810
-318469 + 11.5027
-317781 + 6.2974
-316566 + 7.2303
-315489 + 7.7249
-315049 + 5.5719
-315027 + 5.3093
-314527 + 5.2536
-313421 + 5.5719
-312737 + 8.4524
-310834 + 8.4524
-310735 + 8.7687
-310370 + 5.5719
-310334 + 7.7249
-309759 + 5.5719
-309725 + 6.1865
-309464 + 5.8883
-308335 + 12.8447
-308299 + 6.1865
-308223 + 5.1628
-308121 + 5.1628
-307634 + 6.1865
-307242 + 8.0432
-306930 + 8.0167
-306449 + 7.8358
-306425 + 5.1363
-305978 + 6.8212
-305353 + 6.5293
-305231 + 7.7249
-305146 + 6.5293
-304984 + 13.1875
-304951 + 5.3093
-304723 + 5.8883
-304421 + 5.5719
-304327 + 7.0838
-303917 + 5.1628
-303478 + 5.1628
-303369 + 7.0838
-303203 + 8.0167
-302953 + 9.9642
-302873 + 5.5719
-302758 + 5.5719
-302130 + 7.2568
-302028 + 9.0314
-301665 + 6.6747
-301532 + 7.0838
-301433 + 9.0314
-300242 + 6.5048
-299993 + 5.2536
-299850 + 6.1865
-299605 + 7.2568
-299436 + 5.1628
-298322 + 7.7249
-297757 + 7.7249
-297525 + 6.8477
-297095 + 6.2974
-296864 + 5.3093
-296797 + 6.5048
-296321 + 6.2974
-296280 + 5.3093
-295810 + 6.2974
-295700 + 8.3596
-295538 + 10.7162
-295226 + 6.2974
-295216 + 7.2568
-295097 + 5.5719
-293741 + 11.9118
-293551 + 6.5048
-292611 + 7.7249
-291739 + 6.4783
-291583 + 6.5293
-291102 + 8.2333
-290764 + 9.1778
-290739 + 5.2536
-290578 + 5.7773
-290211 + 6.6747
-289855 + 9.9642
-287285 + 5.1628
-287277 + 5.2536
-286789 + 8.4524
-286348 + 5.5719
-285030 + 5.2536
-283515 + 5.3093
-282612 + 5.7773
-281887 + 7.4929
-281663 + 5.5454
-281350 + 5.2827
-280970 + 7.0838
-280940 + 5.5454
-280724 + 6.5048
-280452 + 9.0314
-280046 + 8.0432
-279940 + 8.0432
-279928 + 5.8883
-279658 + 5.5719
-279298 + 7.0838
-278943 + 9.5551
-278322 + 5.1628
-276618 + 6.1865
-276424 + 9.9642
-275844 + 5.5719
-275571 + 6.1865
-275294 + 14.3831
-275231 + 11.5027
-275119 + 14.3831
-275043 + 8.1632
-274637 + 8.0167
-273764 + 7.7249
-272841 + 5.3093
-272640 + 5.2536
-272381 + 7.0838
-272064 + 5.5719
-271832 + 5.5719
-270833 + 6.0957
-270810 + 5.5719
-270705 + 8.2333
-270403 + 6.6949
-270352 + 5.3093
-270342 + 9.7016
-268235 + 5.5719
-268087 + 5.5719
-267998 + 6.6747
-267605 + 8.0167
-267547 + 5.3093
-266607 + 5.2536
-266173 + 6.5048
-265338 + 5.5719
-265279 + 8.7687
-265266 + 8.4524
-265239 + 8.7687
-265226 + 8.4524
-265011 + 10.3071
-264648 + 6.0692
-264504 + 9.5551
-264431 + 7.8358
-264264 + 5.9810
-263531 + 5.5719
-261221 + 5.5719
-260968 + 5.5454
-260844 + 5.5454
-260563 + 6.8212
-260285 + 6.5048
-259705 + 5.3093
-259206 + 5.5719
-259104 + 11.9118
-258621 + 7.0838
-258295 + 5.5719
-257231 + 6.1865
-257213 + 5.5454
-256927 + 6.5048
-256513 + 8.4524
-256226 + 5.1363
-256125 + 5.2536
-255836 + 14.3831
-255605 + 5.5719
-255481 + 8.7687
-255014 + 5.7184
-254945 + 5.5719
-254259 + 8.7687
-254013 + 7.7249
-253142 + 5.1628
-253054 + 7.7249
-253022 + 7.7249
-251944 + 5.9810
-251639 + 6.4783
-251381 + 10.7162
-251139 + 7.2303
-250896 + 5.5719
-250582 + 5.7773
-250252 + 5.7773
-250139 + 5.2536
-250126 + 9.1778
-250101 + 5.3093
-246398 + 8.6223
-246069 + 8.3596
-246054 + 8.0432
-245379 + 8.0432
-245132 + 5.7773
-244969 + 6.8212
-244814 + 6.8212
-244752 + 6.6949
-244220 + 9.9642
-243865 + 5.3529
-242535 + 6.6949
-242310 + 7.2568
-242257 + 7.2568
-240809 + 7.7249
-240476 + 5.8883
-240379 + 5.1628
-239834 + 6.0957
-239337 + 9.9642
-239156 + 9.1778
-238709 + 5.9810
-238403 + 5.3093
-238173 + 14.3831
-237031 + 5.5719
-236501 + 5.2536
-235902 + 8.6223
-235445 + 9.9642
-233734 + 5.7773
-233609 + 6.1865
-233604 + 6.0957
-233369 + 9.9642
-233334 + 5.5719
-232714 + 5.3093
-232353 + 5.1363
-232051 + 11.5027
-231838 + 8.0432
-231430 + 5.3093
-231425 + 5.5719
-230993 + 11.9118
-229161 + 8.7687
-228470 + 5.1628
-228284 + 5.3093
-226691 + 8.0167
-226664 + 6.5048
-226236 + 5.2536
-226046 + 6.8212
-225932 + 8.0432
-225895 + 5.2827
-225590 + 5.8883
-225557 + 8.0432
-224989 + 5.4792
-224971 + 5.7773
-224547 + 9.5551
-224395 + 6.5293
-223282 + 7.2303
-223162 + 7.0838
-223063 + 6.8212
-222584 + 5.3093
-220894 + 8.1632
-220579 + 5.5719
-219822 + 5.5454
-219386 + 8.0432
-218815 + 5.3529
-217843 + 5.9810
-216154 + 6.2974
-215775 + 5.5719
-213435 + 5.5719
-213416 + 7.7249
-213037 + 5.3093
-212895 + 7.2568
-212790 + 6.8212
-211821 + 5.5719
-211284 + 6.2858
-210888 + 6.1865
-210785 + 7.7249
-209284 + 5.8883
-207884 + 5.7773
-207318 + 7.7249
-207186 + 5.2536
-206963 + 5.7773
-206566 + 7.0838
-206517 + 6.5293
-206236 + 11.9118
-206229 + 11.5027
-206212 + 5.7773
-205846 + 5.2536
-205735 + 5.5719
-204766 + 6.2858
-204554 + 5.2536
-204467 + 6.1865
-204463 + 6.2974
-203842 + 13.1875
-202321 + 7.7249
-202316 + 5.7773
-202084 + 6.0957
-201771 + 6.8212
-201664 + 10.8971
-201535 + 7.0838
-201360 + 5.2536
-200963 + 6.1865
-200355 + 8.0167
-199395 + 7.0838
-198313 + 6.1509
-198272 + 5.3093
-197680 + 5.5719
-197414 + 5.5719
-196407 + 6.8212
-196106 + 6.1865
-195498 + 5.2536
-195342 + 6.8212
-195196 + 5.3529
-193724 + 5.5719
-193079 + 12.8447
-192954 + 6.1865
-191470 + 5.5719
-190921 + 5.3093
-190916 + 6.0957
-190631 + 5.9810
-190587 + 5.7773
-190426 + 6.5048
-190058 + 9.7016
-189790 + 6.8212
-189786 + 5.1628
-189234 + 7.0838
-188790 + 5.5454
-186812 + 5.1628
-186429 + 7.7249
-186342 + 5.1628
-186013 + 6.6949
-185552 + 5.5719
-185442 + 5.5719
-185041 + 6.8212
-185026 + 5.2536
-184844 + 5.9810
-183435 + 5.5719
-182011 + 9.9642
-181396 + 9.5551
-180822 + 5.7773
-180003 + 7.7249
-179476 + 5.7620
-178820 + 5.2536
-178802 + 5.2536
-178424 + 5.5719
-178394 + 5.5719
-178243 + 5.1628
-177450 + 5.3529
-177380 + 5.5719
-176620 + 7.0838
-176478 + 5.2536
-176096 + 5.3093
-175794 + 5.3093
-174856 + 5.5719
-174560 + 5.5719
-174427 + 11.9118
-173840 + 5.3093
-173579 + 6.5048
-173545 + 5.3093
-173275 + 8.0432
-171145 + 5.7773
-170741 + 5.5719
-170589 + 7.2303
-170563 + 6.2974
-170427 + 8.0167
-169828 + 5.3093
-169296 + 5.5719
-168652 + 5.5719
-167924 + 11.6491
-167614 + 5.8883
-167544 + 5.1628
-167067 + 11.5027
-166925 + 12.4356
-166800 + 5.2536
-166365 + 5.2827
-166361 + 9.0314
-166063 + 7.7249
-165872 + 5.3093
-165040 + 5.7773
-164685 + 5.5719
-164397 + 8.0167
-164323 + 5.3093
-163980 + 8.7687
-163547 + 5.5719
-163510 + 5.1363
-163178 + 6.8212
-162889 + 5.3093
-162579 + 8.7687
-162539 + 7.0838
-161970 + 6.6747
-161238 + 5.3093
-161014 + 5.3529
-160556 + 6.2974
-159476 + 5.3093
-158535 + 5.3093
-156891 + 6.1865
-154306 + 5.3093
-152978 + 5.5719
-152377 + 5.5454
-150789 + 9.5551
-150752 + 5.1363
-150501 + 5.2536
-150483 + 6.5293
-150143 + 5.2536
-149665 + 5.7773
-148971 + 5.5719
-148039 + 5.1628
-147951 + 5.3093
-147691 + 12.8447
-147093 + 6.8212
-146757 + 6.0692
-146699 + 9.0314
-146054 + 10.8971
-145598 + 5.7773
-143706 + 5.7773
-142899 + 5.3093
-142592 + 5.3093
-141773 + 9.1778
-140548 + 7.4929
-140485 + 5.5719
-140352 + 5.5719
-139488 + 5.1628
-139240 + 5.1363
-138477 + 6.5048
-137921 + 6.8477
-137251 + 7.7249
-136573 + 5.1628
-136462 + 6.0957
-134903 + 7.0838
-134896 + 6.1865
-134873 + 11.6491
-134251 + 5.1628
-133990 + 5.5719
-133078 + 5.5719
-132733 + 5.5719
-132607 + 5.3093
-132052 + 5.5719
-131918 + 5.1628
-130888 + 7.0838
-130583 + 5.7773
-130556 + 5.5454
-130484 + 7.0838
-130477 + 11.6491
-129738 + 6.4783
-128614 + 9.9642
-128598 + 5.3093
-128440 + 6.5048
-128209 + 5.3093
-127763 + 11.6491
-127730 + 6.6747
-127539 + 5.7773
-126933 + 5.5719
-126433 + 5.3093
-125895 + 7.7249
-124813 + 5.5454
-124017 + 6.5048
-123579 + 5.2536
-123539 + 5.1628
-123256 + 9.0314
-122995 + 7.0838
-122802 + 7.4929
-122290 + 6.1865
-122076 + 8.0432
-121970 + 5.1363
-121675 + 8.0167
-121533 + 8.0432
-121120 + 5.5454
-121006 + 5.5454
-120813 + 5.5454
-120087 + 5.5454
-119638 + 6.1865
-119191 + 5.7773
-117759 + 7.7249
-116960 + 5.3093
-116828 + 5.1628
-116387 + 6.8212
-116015 + 5.2536
-114973 + 12.4356
-113911 + 5.5719
-113761 + 5.5719
-113689 + 7.4929
-113310 + 5.5719
-113208 + 7.7249
-112694 + 11.5027
-111732 + 5.2536
-111227 + 5.1628
-111194 + 5.7773
-111179 + 5.7773
-111103 + 9.7016
-108997 + 6.1509
-107819 + 5.8883
-107588 + 6.4783
-106779 + 5.7773
-105851 + 6.5293
-105525 + 7.7249
-103739 + 5.5719
-103565 + 5.2536
-103287 + 5.3093
-102884 + 5.5719
-101801 + 6.5293
-101486 + 8.4524
-100945 + 7.7249
-100932 + 5.2536
-100020 + 8.0432
-98775 + 11.9118
-98416 + 7.0838
-98305 + 9.9642
-98151 + 5.8883
-97818 + 11.6491
-97639 + 11.6491
-97315 + 7.7249
-96758 + 5.9810
-96232 + 5.2536
-94919 + 8.7687
-94289 + 8.0432
-93861 + 5.5719
-92533 + 5.3093
-92140 + 7.2303
-91659 + 6.8212
-91650 + 6.5048
-91345 + 5.3093
-90129 + 5.5719
-89531 + 6.5048
-88957 + 5.5719
-88941 + 5.5719
-88463 + 5.5719
-88169 + 6.1509
-88076 + 6.1509
-87593 + 9.5551
-85887 + 5.5719
-84693 + 6.2974
-84259 + 7.0838
-83657 + 7.4929
-83544 + 5.3529
-82528 + 5.7773
-81499 + 5.5719
-80653 + 5.2536
-80601 + 7.0838
-79253 + 5.5719
-78936 + 9.1778
-78876 + 7.4929
-77278 + 6.2974
-76648 + 5.4792
-76630 + 8.3596
-76201 + 7.0838
-76046 + 5.5719
-75889 + 5.1628
-74536 + 7.0838
-74457 + 5.9810
-73678 + 6.6949
-73444 + 5.3093
-72878 + 5.3093
-72424 + 5.3093
-72059 + 6.5048
-71697 + 5.5454
-71098 + 6.5048
-70770 + 5.7773
-70592 + 5.2536
-69821 + 5.7773
-69668 + 5.1628
-69360 + 7.7249
-68387 + 5.3093
-67651 + 5.1628
-65930 + 6.1509
-64409 + 5.5719
-64104 + 5.5719
-64028 + 5.5719
-63445 + 6.5048
-62574 + 6.1509
-62506 + 7.4929
-62384 + 8.2333
-62121 + 5.1363
-61649 + 8.0432
-61364 + 12.4356
-60976 + 6.2974
-60724 + 5.5719
-59237 + 5.5719
-59054 + 9.0314
-58605 + 5.2536
-58246 + 7.0838
-55667 + 6.5293
-55349 + 7.7249
-55344 + 7.7249
-54025 + 8.7687
-53877 + 5.3093
-53795 + 8.0432
-53561 + 8.0432
-53051 + 5.5719
-52907 + 6.2974
-52858 + 5.3529
-51180 + 5.5719
-50334 + 5.2536
-50282 + 7.0838
-50162 + 9.9642
-49758 + 5.7773
-49259 + 7.2568
-48966 + 5.5719
-47850 + 6.0957
-47141 + 6.6747
-47123 + 8.3596
-46842 + 8.0167
-45809 + 5.3093
-45162 + 5.3093
-44498 + 8.0167
-44253 + 5.5454
-44081 + 5.2536
-43907 + 8.0432
-43414 + 7.0838
-43147 + 5.1628
-42262 + 7.7249
-42083 + 5.7773
-41098 + 5.3093
-40788 + 7.2303
-40267 + 9.9642
-39966 + 5.3093
-39112 + 5.5454
-38744 + 5.5719
-38635 + 5.5454
-38480 + 5.5719
-37441 + 7.6076
-37357 + 8.3596
-36295 + 5.7773
-36025 + 6.8212
-35962 + 8.0167
-35792 + 5.5454
-35776 + 5.8883
-34134 + 5.5719
-32198 + 5.5719
-31434 + 5.2536
-31389 + 7.7249
-31271 + 8.4258
-30936 + 5.5719
-30760 + 7.0838
-30746 + 5.5454
-30459 + 5.1628
-29871 + 5.5719
-27687 + 5.1628
-26005 + 6.5048
-24152 + 8.7687
-23220 + 8.7687
-22689 + 5.5719
-22634 + 7.0838
-22007 + 9.9642
-21690 + 5.7773
-21141 + 5.5719
-21011 + 5.5454
-20725 + 5.5719
-20344 + 11.9118
-20058 + 9.5551
-19999 + 7.0838
-19852 + 7.7249
-19362 + 5.5719
-19118 + 6.1509
-18835 + 6.0957
-18512 + 7.7249
-18356 + 9.9642
-18351 + 5.5719
-18335 + 9.0314
-18323 + 8.6223
-17140 + 7.0838
-16717 + 5.5719
-16701 + 5.2536
-16642 + 5.7184
-15964 + 5.5719
-15932 + 5.8883
-15791 + 8.0167
-15552 + 5.5719
-15545 + 7.0838
-15099 + 9.0314
-14225 + 7.7249
-12916 + 5.5719
-12782 + 5.5719
-12286 + 5.1363
-12008 + 5.7773
-11500 + 5.5719
-11404 + 5.5454
-10443 + 5.2536
-9843 + 7.4929
-9780 + 5.5719
-8908 + 6.0957
-8751 + 5.5719
-8631 + 6.1865
-8181 + 6.1509
-7898 + 8.2333
-7169 + 6.1509
-4671 + 5.1565
-4503 + 5.7773
-4352 + 12.8447
-4292 + 14.3831
-4128 + 7.7249
-4115 + 6.5048
-3629 + 8.0167
-2529 + 9.9642
-1180 + 8.0167
-1078 + 8.0167
-270 + 12.8447
1035 - 7.0838
1066 + 5.2827
1215 - 5.5454
1982 + 6.0957
2488 - 9.1778
2541 + 8.0167
2865 + 9.9642
2961 + 5.1363
3228 + 9.0314
3597 - 9.7016
3796 - 5.7620
4333 - 5.3093
4456 + 7.0838
4604 + 6.4783
6036 - 6.4783
6252 - 9.9642
6877 - 5.2827
8226 + 6.0692
8513 - 8.4258
8729 + 5.2536
9154 - 6.1509
9270 - 5.1363
9600 - 9.9642
10741 - 6.1509
11144 - 6.8212
11239 - 7.4929
11872 + 6.5048
12508 + 7.2303
12511 - 10.8971
12709 + 5.2536
12722 + 6.6747
13122 - 5.3529
13199 + 5.2536
13250 + 6.8212
13419 + 6.2974
13546 - 5.1628
13799 + 7.0838
13975 + 5.2536
13992 + 5.5719
13997 + 6.5048
14735 + 7.4929
14822 + 5.7773
14838 + 5.5454
16039 + 11.5027
16810 - 6.1509
16928 - 6.1509
18209 + 10.3734
18543 - 5.3093
18551 - 6.6949
18997 + 5.1628
19666 + 6.6747
20000 + 5.1363
21160 + 6.6747
22417 + 5.1628
22459 + 5.1363
22679 - 6.8212
22927 + 8.4258
22976 - 5.1628
23163 + 9.1778
23297 - 5.5454
24058 - 5.5719
24253 - 5.5454
24356 + 9.9642
24508 + 5.8883
24548 + 5.5454
25017 + 7.0838
25297 - 9.5551
25481 + 7.0838
25524 + 6.6747
25892 + 6.2974
25932 + 8.0167
26530 + 5.5454
26551 + 7.2303
26554 - 6.0957
26588 - 7.4929
26613 + 7.0838
26634 + 8.7687
26686 - 6.4783
26713 - 5.2536
26724 - 8.0167
27193 + 6.4783
27264 - 10.1107
27645 + 8.4258
27725 - 6.0957
28038 - 5.8883
28123 + 6.0957
28168 + 5.2536
28658 - 5.3529
29182 + 6.2974
29199 - 5.2536
29382 - 9.5551
29504 + 7.4929
29699 - 5.5719
30082 - 8.7687
31682 - 5.5719
32256 - 6.0692
32528 + 5.5719
33091 + 5.1363
33571 + 5.5719
33837 - 7.4929
34407 - 5.8883
34920 + 6.2974
34938 - 5.5719
35170 + 5.1628
35338 + 5.2536
35798 - 5.1628
37348 - 6.1865
37778 - 6.8212
37894 - 8.1632
37967 - 6.8212
38147 + 5.5719
38173 - 5.3093
38998 - 8.0167
39248 - 5.5719
39321 + 8.0167
39491 + 7.0838
39658 + 5.8883
39696 - 5.5454
39826 - 5.1628
39965 + 5.1363
40247 - 7.0838
40367 + 5.5454
40918 - 6.8212
40972 - 6.5048
41439 + 6.8212
41463 + 7.2303
42410 + 9.0314
42812 + 6.1865
42861 + 5.1363
42865 + 6.4783
43187 - 5.5719
43795 - 6.1865
45018 - 8.6223
46651 + 7.7249
46868 - 6.0957
46948 + 5.2827
47147 - 5.1363
48469 - 5.5719
48911 - 6.6747
49006 + 5.5454
49162 + 7.4929
50579 + 5.7773
51217 + 6.0957
51903 + 7.4929
52084 - 11.9118
52644 + 9.9642
52887 + 9.9642
53077 - 5.1363
53332 + 5.2536
53516 + 6.8212
53596 + 5.5454
54010 - 7.0838
54089 - 6.4783
54945 + 5.3093
54971 - 5.5719
55218 - 6.2974
55822 + 5.3093
56631 - 5.5719
56781 - 6.6747
56950 + 6.6747
57058 + 5.5719
57207 + 6.2974
57543 + 8.0432
57623 - 5.2536
57697 - 7.2303
57730 + 5.1363
57836 - 5.3093
58012 - 6.2974
58304 + 8.7687
58444 - 5.9810
58769 + 7.0838
59298 + 5.5719
59684 - 5.1363
59720 + 6.0957
59853 - 8.0432
59962 - 6.6747
60182 - 5.2536
60393 - 7.7249
60653 - 5.2827
60728 + 6.2858
60811 - 7.7249
60919 + 7.2568
61220 + 5.3093
61624 + 5.5719
62029 - 10.3071
62233 - 8.3596
62370 - 5.1628
62433 - 10.3071
62466 - 10.3071
62529 - 6.1509
62596 - 8.3596
62713 - 5.3093
62863 - 8.7687
63149 - 9.1778
63219 - 11.9118
63267 - 7.0838
63316 - 11.9118
63364 - 9.0314
63723 - 9.9642
63762 + 5.7773
63821 - 8.3596
63896 - 8.0432
63937 - 5.3093
64078 - 10.3071
64539 - 14.3831
64817 + 6.6747
64873 - 6.6747
65035 - 6.0957
65064 + 12.4356
65067 - 6.8212
65130 - 8.6223
65486 - 9.5551
65579 + 8.7687
65582 - 8.3596
65773 - 9.5551
65812 + 6.2974
66022 + 5.2536
66194 - 5.9810
66302 + 5.2536
66389 + 5.5719
66436 + 5.2536
66492 - 7.2303
66603 + 6.5048
66807 + 7.4929
67412 + 5.5719
67527 + 9.0314
68170 + 7.0838
68253 + 9.9642
68271 + 5.7620
68503 + 5.5454
68566 + 8.0167
68593 + 6.5048
69182 - 9.5551
69221 + 6.2974
69431 + 5.2536
69603 - 5.9810
69711 + 5.2536
69798 + 5.5719
69845 + 5.2536
70011 + 6.5048
70045 + 5.5454
70215 + 7.4929
70820 + 5.5719
70935 + 9.0314
71576 + 7.0838
71659 + 9.9642
71677 + 5.7620
71909 + 5.5454
71972 + 8.0167
71999 + 6.5048
72588 - 9.5551
72627 + 6.2974
72837 + 5.2536
73009 - 5.9810
73117 + 5.2536
73204 + 5.5719
73251 + 5.2536
73307 - 7.2303
73418 + 6.5048
73452 + 5.5454
73622 + 7.4929
74227 + 5.5719
74344 + 9.0314
74987 + 7.0838
75075 + 9.9642
75093 + 5.7620
75325 + 5.5454
75388 + 8.0167
75415 + 6.5048
76004 - 9.5551
76043 + 6.2974
76253 + 5.2536
76425 - 5.9810
76533 + 5.2536
76620 + 5.5719
76667 + 5.2536
76723 - 7.2303
76811 + 5.2536
76924 - 5.3093
76933 - 11.6491
77458 - 7.0838
77711 - 5.5454
78406 + 8.7687
78642 - 8.7687
78650 - 6.1865
78703 + 6.1509
78744 + 8.4524
79055 + 5.3529
79319 + 6.6747
79985 - 5.3093
80116 - 7.7249
80206 - 5.9810
80311 - 6.8212
80444 + 5.2536
80739 - 9.9642
80996 + 5.5719
81706 - 6.4783
82298 - 6.1865
82447 - 11.9118
82631 + 11.9118
82706 - 12.8447
82735 - 8.0432
83085 + 5.2827
84489 + 7.0838
84914 + 6.2974
85188 + 5.5719
85207 + 5.4792
85450 + 5.8883
85670 + 5.3529
85788 + 5.5719
85814 - 5.3093
86463 - 8.6223
86688 - 5.2536
86934 - 5.1628
87091 - 5.1363
87095 - 6.1509
87409 - 9.0314
88020 - 9.0314
88351 + 5.5454
88459 - 7.4929
88516 - 9.0314
88563 - 6.2974
88677 + 5.2536
89307 - 5.5454
89487 - 5.2536
89518 - 5.1363
89674 - 7.4929
89840 - 8.7687
90138 - 5.1363
90222 - 6.5048
90599 + 6.0957
91283 - 10.3071
91442 - 5.5719
91450 - 9.7016
91511 + 6.1509
91551 + 8.4524
91848 + 5.3529
92110 + 6.6747
92312 + 5.5454
92508 - 5.5454
92645 - 6.0957
92651 + 8.7687
92813 - 7.6076
94178 - 5.2827
94653 + 6.1509
94839 + 7.2303
94842 - 7.0838
95053 - 5.1363
95177 + 8.0432
95902 + 7.0838
95916 + 6.1865
95928 - 5.3093
96833 - 5.1628
97089 - 6.5048
97238 - 8.7687
97411 + 5.5454
97414 - 9.3587
97427 + 6.8212
97507 + 8.7687
97904 + 6.6747
97921 + 7.0838
97924 - 6.8212
97944 - 6.4783
98090 - 5.5454
98406 - 6.8212
98483 + 6.6949
99019 - 5.2536
99196 + 6.4783
99359 - 5.9810
99461 - 5.5719
99516 + 5.1628
99777 + 6.1865
99993 - 5.5719
100095 + 5.1363
100391 + 5.5719
100414 + 6.0957
100549 - 8.0432
100734 - 7.4929
100957 - 5.3093
101444 - 7.4112
101557 + 5.2536
101569 - 5.3093
101687 + 5.9810
102040 - 7.6076
102324 - 8.6223
102607 - 5.3093
103346 + 5.1363
103664 - 9.1778
103828 - 5.3093
104024 + 11.9118
104595 - 6.4783
104602 + 6.1865
104685 - 5.5454
105020 + 5.7773
105724 - 5.3529
105905 + 5.5719
105931 - 5.3093
106396 - 5.8883
106526 - 5.3093
106860 + 11.6491
106930 + 7.7249
107068 + 8.4524
107602 - 5.5719
107617 - 5.4792
107763 + 7.4929
108098 + 8.0167
108132 + 6.8212
108225 - 7.7249
108427 + 6.5048
108717 - 6.1865
108774 - 9.5551
108964 + 5.2536
109369 + 7.7249
109434 - 7.2303
109480 - 5.5454
109591 + 7.0838
110783 + 5.3093
110874 + 5.5719
111010 + 5.5719
111470 + 7.7249
111643 + 5.5719
111669 - 5.3093
112236 - 5.5719
112254 - 9.0314
112399 + 6.1509
112920 - 5.3093
112982 + 7.7249
113125 - 5.1628
113177 + 10.7162
113198 - 5.1363
113529 + 5.3093
113816 - 5.5719
114295 - 8.4258
114384 + 6.2974
114822 - 6.8212
114855 - 7.7249
114993 - 9.7016
115170 - 5.3093
115214 - 5.7773
115347 + 5.8883
116309 + 8.7687
116377 + 9.5551
116519 - 6.1509
117192 - 5.5454
117344 - 7.2303
117351 - 6.2974
117628 - 5.8883
117652 - 6.1509
118151 + 7.4929
119022 + 8.0167
119628 + 5.5454
119695 - 5.5719
119926 - 7.0838
119968 - 7.0838
120626 - 8.7687
122224 + 8.4258
122468 - 6.2974
122519 + 7.6076
122522 - 6.8212
122839 - 7.0838
123264 - 9.9642
123788 + 7.4929
124189 - 6.5048
124285 + 6.2974
127761 + 5.1363
127800 - 6.6949
128475 + 5.7184
128485 - 5.5454
128546 - 6.2974
128904 + 5.1363
128925 - 7.8358
129340 + 6.0692
129343 - 7.2303
129397 - 8.0167
129703 - 8.7687
130311 + 5.2536
130607 - 6.1865
131063 + 5.7773
131066 - 5.2827
131073 + 5.5719
131181 + 5.5454
131849 + 5.3093
132405 + 8.0167
132811 + 5.8883
133254 + 9.0314
134018 - 6.1509
134395 + 7.0838
134416 + 9.0314
134693 - 8.4258
134817 + 5.5719
135348 - 5.2827
135495 + 5.1628
135687 - 5.1363
137041 + 7.7249
137495 - 5.1363
137644 - 5.2536
137799 + 7.2568
138365 - 6.4783
138443 - 6.5293
138633 - 5.1565
138658 - 8.0432
138695 + 11.6491
139233 + 5.5719
139354 + 6.2974
139939 + 10.3734
139978 - 5.2536
140058 + 6.1865
140109 - 5.3529
140237 + 7.4929
141643 - 6.2974
141865 - 6.4783
142816 + 9.5551
142835 + 8.4258
142894 - 5.1628
143053 - 6.0692
143188 + 5.5719
143588 + 8.4258
144029 + 6.5048
144209 + 11.6491
144738 - 7.0838
144766 - 5.1363
145127 + 7.0838
145775 + 5.1628
146051 + 5.1363
147029 + 6.0957
147106 - 9.0314
147512 + 6.1865
147718 - 5.5719
147927 + 10.8971
148128 - 7.0838
148261 + 6.4783
148768 - 5.1363
148857 + 7.4929
149438 + 5.5454
149517 - 6.5048
149790 + 5.1363
150327 + 6.5048
150475 + 5.3093
150488 - 5.5454
150899 - 5.1565
151002 - 5.3093
151016 - 9.9642
151384 + 5.9810
151535 - 6.8212
151561 - 5.5454
151743 - 6.9139
152440 - 6.0957
152535 + 5.5454
152622 + 5.1363
152887 + 5.2536
153089 + 6.2974
153331 + 5.1628
153382 + 5.1628
154208 - 5.5719
154461 - 6.5048
154743 + 7.8358
154834 + 6.6949
155203 - 5.5719
155645 - 6.2974
155733 + 13.1875
155788 + 5.1363
155991 - 5.3093
156079 + 5.7773
156456 + 5.1628
156639 + 6.2858
156884 + 6.2858
156954 + 6.2858
157063 - 8.7687
157129 + 6.2858
157514 + 6.2858
157654 + 6.2858
157895 + 6.2858
157986 - 8.7687
158021 - 7.2303
158070 + 6.2858
158245 + 6.2858
158839 + 6.2858
159049 + 6.2858
159070 - 8.7687
159189 + 6.2858
159504 + 6.2858
159889 + 5.7773
160729 + 5.2827
161567 + 5.5719
161867 - 7.4929
162206 + 5.9810
162288 + 8.0432
162621 - 5.2536
162729 + 5.1628
162938 + 7.2303
163153 - 7.7249
163505 - 5.7620
163534 + 6.0957
163648 - 9.3587
163652 - 7.8358
163790 + 8.4258
164046 - 6.5293
164102 - 6.8212
164382 - 5.1363
164617 - 8.0167
164635 - 7.0838
165682 - 5.5719
165786 - 5.1363
166246 - 5.5454
166916 - 6.0957
166963 + 8.0167
167033 + 5.5719
167269 + 5.1628
167692 + 5.5454
167696 + 7.0838
168417 + 5.5719
168453 + 5.7773
168477 - 6.2974
168971 + 5.3093
168997 - 5.5719
169109 - 7.0838
169689 - 5.8883
171368 - 5.1628
171569 - 7.4929
172850 + 5.5719
173025 - 7.0838
173217 - 9.9642
173585 - 5.5454
174234 + 6.2974
174360 - 5.3529
175066 - 5.3529
175271 - 9.3587
175557 + 6.8212
175934 - 7.7249
176596 + 5.3529
176776 + 5.1363
177316 - 8.0432
177450 + 7.0838
177675 + 12.8447
177876 + 5.8883
178135 - 5.5719
178546 - 6.6747
178646 - 5.3093
178923 - 5.8883
179006 - 7.7249
179232 - 6.0692
179338 + 8.2333
179427 + 5.1628
179450 - 7.0838
180109 + 5.5719
180117 + 7.2568
180359 - 12.8447
180487 - 6.5048
180513 + 5.5454
181265 + 5.5719
181317 + 5.1363
181418 + 5.3093
181522 + 8.4258
181706 - 9.9642
182704 + 8.0167
182744 - 7.7249
183203 - 6.1865
183371 + 9.0314
183476 + 6.2974
183510 + 5.3529
184110 + 5.1363
184566 + 5.1363
184731 - 5.1363
184765 + 9.0314
185550 + 5.7620
185859 + 5.7773
